card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,born_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,born_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley,0.55,156.0,4.0,4.0,Nursulton Ruziboev,0.43,72.0,0.0,0.0,"St. Louis, Missouri, USA",3.0,3.0,Welterweight,1.0,U-DEC,2024.0,2.34,3.61,185.42,75.0,Southpaw,0.6,0.62,0.5,0.6,1.56,0.76,185,1993,17,1,0,1,4.96,4.44,190.5,75.0,Southpaw,0.5,0.5,0.0,0.18,0.73,0.66,185.0,1996.0,20.0,8.0,0.0,0.0,31.0,28.0
UFC Fight Night: Lewis vs. Nascimento,Carlos Ulberg,0.25,4.0,0.0,0.0,Alonzo Menifield,0.63,11.0,0.0,0.0,"St. Louis, Missouri, USA",3.0,1.0,Light Heavyweight,1.0,KO/TKO,2024.0,2.31,3.6,172.72,71.0,Orthodox,0.58,0.56,0.6,0.39,3.22,0.74,145,1995,17,3,0,0,4.73,5.22,180.34,69.0,Orthodox,0.54,0.57,0.1,0.0,0.0,0.42,155.0,1992.0,8.0,6.0,1.0,0.0,29.0,32.0
UFC Fight Night: Nicolau vs. Perez,Gabriel Benitez,0.41,295.0,0.0,0.0,Maheshate,0.31,312.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,0.0,S-DEC,2024.0,4.33,4.5,185.42,73.0,Orthodox,0.52,0.51,0.7,0.52,1.14,0.76,185,1993,31,13,0,2,4.09,4.44,172.72,70.0,Southpaw,0.49,0.56,0.1,0.35,0.38,0.68,135.0,1994.0,19.0,6.0,0.0,0.0,31.0,30.0
UFC Fight Night: Nicolau vs. Perez,Liang Na,0.49,73.0,4.0,3.0,Ivana Petrovic,0.46,52.0,2.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Women's Flyweight,0.0,SUB,2024.0,2.96,4.53,185.42,74.0,Southpaw,0.51,0.38,2.2,0.34,2.59,0.55,155,1999,16,3,1,0,4.03,4.45,172.72,68.0,Orthodox,0.46,0.52,0.3,0.26,0.84,0.63,125.0,1995.0,12.0,4.0,0.0,0.0,25.0,29.0
UFC Fight Night: Nicolau vs. Perez,Michal Figlak,0.42,206.0,7.0,3.0,Austin Hubbard,0.43,210.0,3.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,0.0,U-DEC,2024.0,3.81,3.65,170.18,70.0,Orthodox,0.46,0.6,0.1,0.51,0.47,0.92,135,1986,32,10,0,0,3.43,5.98,193.04,78.0,Orthodox,0.48,0.55,0.1,0.5,0.42,0.66,260.0,1991.0,14.0,1.0,0.0,0.0,38.0,33.0
UFC Fight Night: Nicolau vs. Perez,Chris Padilla,0.47,40.0,0.0,0.0,James Llontop,0.46,26.0,3.0,3.0,"Las Vegas, Nevada, USA",3.0,1.0,Lightweight,1.0,SUB,2024.0,3.88,4.36,165.1,67.0,Orthodox,0.5,0.49,1.0,0.47,2.8,0.69,125,1990,30,5,0,0,4.18,5.57,187.96,78.0,Orthodox,0.46,0.58,0.3,0.55,0.58,0.84,145.0,1992.0,13.0,2.0,1.0,0.0,34.0,32.0
UFC Fight Night: Nicolau vs. Perez,Rani Yahya,0.49,109.0,10.0,0.0,Victor Henry,0.53,205.0,2.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Bantamweight,0.0,KO/TKO,2024.0,2.54,2.11,200.66,84.0,Orthodox,0.59,0.46,0.0,0.0,0.0,0.5,265,1988,5,2,0,0,4.34,3.71,187.96,80.0,Orthodox,0.47,0.44,0.5,0.37,1.02,0.6,246.0,1992.0,11.0,3.0,0.0,1.0,36.0,32.0
UFC Fight Night: Nicolau vs. Perez,Ketlen Souza,0.4,77.0,5.0,2.0,Marnic Mann,0.68,116.0,2.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Women's Strawweight,1.0,U-DEC,2024.0,3.09,4.21,177.8,73.0,Southpaw,0.49,0.62,0.7,0.68,0.54,0.64,145,1988,21,15,0,1,4.13,4.7,170.18,66.0,Southpaw,0.48,0.54,0.8,0.75,3.84,0.45,155.0,1992.0,20.0,2.0,0.0,0.0,36.0,32.0
UFC Fight Night: Nicolau vs. Perez,Caio Machado,0.36,183.0,0.0,0.0,Don'Tale Mayes,0.47,159.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Heavyweight,0.0,U-DEC,2024.0,2.49,2.51,190.5,79.0,Orthodox,0.5,0.4,0.0,0.26,0.56,0.52,260,1985,29,12,0,1,2.89,2.59,195.57999999999998,76.0,Orthodox,0.46,0.48,0.0,0.66,0.75,0.33,185.0,1993.0,36.0,9.0,2.0,2.0,39.0,31.0
UFC Fight Night: Nicolau vs. Perez,Jhonata Diniz,0.45,37.0,4.0,1.0,Austen Lane,0.6,33.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,2.0,Heavyweight,1.0,KO/TKO,2024.0,3.46,4.82,175.26,74.0,Orthodox,0.4,0.55,0.6,0.3,0.86,0.57,155,1985,19,6,0,0,3.76,3.79,182.88,76.0,Orthodox,0.53,0.5,0.2,0.31,0.5,0.78,205.0,1987.0,17.0,5.0,1.0,0.0,39.0,37.0
